[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[FE:000] ccrzrfo4004-pipinst.esl
[FE:001] ccbgsfo4101-as_shi.esl
[FE:002] ccbgsfo4114-ws_shi.esl
[FE:003] ccbgsfo4103-as_tunnelsnakes.esl
[FE:004] ccbgsfo4096-as_enclave.esl
[FE:005] ccbgsfo4087-piphaida.esl
